
Projection policy gradient (ptorch) for continuous control, with value baseline.

Saved rollout gif -> bipedal_walker_gifs/epoch_0000.gif
/rhea/scratch/brussel/vo/000/bvo00004/vsc38352/learning_with_projections/experiments/bipedal_walker.py:304: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  pol_acc += float(pol); val_acc += float(val); nb += 1
epoch: 103 	 pol:    -0.06 	 val:     6.31 	 clipfrac: 0.41 	 return:  -108.94 	 ep_len:  1152.5 	 log_std: -1.000
epoch: 104 	 pol:    -0.09 	 val:    12.62 	 clipfrac: 0.38 	 return:  -125.50 	 ep_len:  1173.0 	 log_std: -1.000
epoch: 105 	 pol:    -0.06 	 val:     6.60 	 clipfrac: 0.36 	 return:  -101.60 	 ep_len:  1240.9 	 log_std: -1.000
epoch: 106 	 pol:     0.01 	 val:     4.98 	 clipfrac: 0.37 	 return:  -104.36 	 ep_len:  1533.2 	 log_std: -1.000
epoch: 107 	 pol:     0.01 	 val:     8.70 	 clipfrac: 0.29 	 return:   -98.22 	 ep_len:  1165.6 	 log_std: -1.000
epoch: 108 	 pol:     0.02 	 val:    10.62 	 clipfrac: 0.29 	 return:  -129.55 	 ep_len:  1169.6 	 log_std: -1.000
epoch: 109 	 pol:    -0.10 	 val:    13.93 	 clipfrac: 0.40 	 return:  -114.34 	 ep_len:   811.4 	 log_std: -1.000
epoch: 110 	 pol:    -0.11 	 val:    13.74 	 clipfrac: 0.43 	 return:  -152.85 	 ep_len:  1001.4 	 log_std: -1.000
epoch: 111 	 pol:    -0.15 	 val:    18.12 	 clipfrac: 0.38 	 return:  -115.56 	 ep_len:   763.3 	 log_std: -1.000
epoch: 112 	 pol:    -0.06 	 val:    14.00 	 clipfrac: 0.33 	 return:  -109.21 	 ep_len:  1004.4 	 log_std: -1.000
epoch: 113 	 pol:    -0.04 	 val:    11.44 	 clipfrac: 0.34 	 return:  -139.00 	 ep_len:  1185.1 	 log_std: -1.000
epoch: 114 	 pol:    -0.01 	 val:     8.38 	 clipfrac: 0.40 	 return:  -118.44 	 ep_len:  1378.3 	 log_std: -1.000
epoch: 115 	 pol:    -0.09 	 val:    23.75 	 clipfrac: 0.45 	 return:  -119.20 	 ep_len:   678.2 	 log_std: -1.000
epoch: 116 	 pol:    -0.03 	 val:     8.47 	 clipfrac: 0.31 	 return:  -115.54 	 ep_len:  1238.7 	 log_std: -1.000
epoch: 117 	 pol:    -0.01 	 val:    23.39 	 clipfrac: 0.30 	 return:  -124.90 	 ep_len:   769.4 	 log_std: -1.000
epoch: 118 	 pol:     0.03 	 val:    29.81 	 clipfrac: 0.40 	 return:  -150.56 	 ep_len:   746.6 	 log_std: -1.000
epoch: 119 	 pol:    -0.05 	 val:    10.47 	 clipfrac: 0.38 	 return:  -109.66 	 ep_len:  1157.8 	 log_std: -1.000
epoch: 120 	 pol:     0.01 	 val:    21.58 	 clipfrac: 0.31 	 return:  -135.45 	 ep_len:   834.3 	 log_std: -1.000
epoch: 121 	 pol:    -0.00 	 val:    16.34 	 clipfrac: 0.33 	 return:  -145.85 	 ep_len:  1094.8 	 log_std: -1.000
epoch: 122 	 pol:    -0.40 	 val:    42.83 	 clipfrac: 0.49 	 return:  -131.14 	 ep_len:   506.5 	 log_std: -1.000
epoch: 123 	 pol:    -0.03 	 val:    26.82 	 clipfrac: 0.34 	 return:  -125.55 	 ep_len:   768.9 	 log_std: -1.000
epoch: 124 	 pol:     0.11 	 val:    23.43 	 clipfrac: 0.34 	 return:  -142.08 	 ep_len:  1092.9 	 log_std: -1.000
epoch: 125 	 pol:    -0.10 	 val:    13.82 	 clipfrac: 0.36 	 return:  -122.09 	 ep_len:  1182.6 	 log_std: -1.000
epoch: 126 	 pol:    -0.12 	 val:    21.79 	 clipfrac: 0.36 	 return:  -113.62 	 ep_len:   761.5 	 log_std: -1.000
epoch: 127 	 pol:    -0.11 	 val:    21.97 	 clipfrac: 0.31 	 return:  -155.64 	 ep_len:  1041.8 	 log_std: -1.000
epoch: 128 	 pol:    -0.14 	 val:    29.82 	 clipfrac: 0.41 	 return:  -136.74 	 ep_len:   678.8 	 log_std: -1.000
epoch: 129 	 pol:    -0.28 	 val:    32.74 	 clipfrac: 0.32 	 return:  -137.51 	 ep_len:   672.2 	 log_std: -1.000
epoch: 130 	 pol:    -0.05 	 val:    31.47 	 clipfrac: 0.35 	 return:  -133.19 	 ep_len:   745.8 	 log_std: -1.000
