Device: cpu

============================================================
ptorch | MNIST_4L | norm=2 | opt=ProjectionMuonV2 | loss=CrossEntropy | muon=False | bs=32

MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   0%|          | 0/5000 [00:00<?, ?step/s]/rhea/scratch/brussel/vo/000/bvo00004/vsc38352/learning_with_projections/.venv/lib/python3.12/site-packages/torch/utils/data/dataloader.py:775: UserWarning: 'pin_memory' argument is set as true but no accelerator is found, then device pinned memory won't be used.
  super().__init__(loader)

MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   3%|▎         | 169/5000 [00:06<02:57, 27.29step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   3%|▎         | 172/5000 [00:06<02:55, 27.46step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   4%|▎         | 175/5000 [00:06<02:53, 27.84step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   4%|▎         | 178/5000 [00:06<02:51, 28.05step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   4%|▎         | 181/5000 [00:07<02:50, 28.23step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   4%|▎         | 184/5000 [00:07<02:50, 28.27step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   4%|▎         | 187/5000 [00:07<02:51, 28.11step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   4%|▍         | 190/5000 [00:07<02:52, 27.94step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   4%|▍         | 193/5000 [00:07<02:52, 27.91step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   4%|▍         | 196/5000 [00:07<02:51, 27.93step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   4%|▍         | 199/5000 [00:07<02:52, 27.78step/s, best=0.0000, val_acc=0.0672]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   4%|▍         | 200/5000 [00:08<02:52, 27.78step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   4%|▍         | 202/5000 [00:08<06:06, 13.10step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   4%|▍         | 205/5000 [00:08<05:15, 15.22step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   4%|▍         | 208/5000 [00:08<04:44, 16.83step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   4%|▍         | 211/5000 [00:08<04:11, 19.06step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   4%|▍         | 214/5000 [00:08<03:48, 20.91step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   4%|▍         | 217/5000 [00:08<03:34, 22.33step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   4%|▍         | 220/5000 [00:08<03:23, 23.44step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   4%|▍         | 223/5000 [00:09<03:15, 24.48step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   5%|▍         | 226/5000 [00:09<03:09, 25.21step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   5%|▍         | 229/5000 [00:09<03:05, 25.75step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   5%|▍         | 232/5000 [00:09<03:01, 26.27step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   5%|▍         | 235/5000 [00:09<02:57, 26.78step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   5%|▍         | 238/5000 [00:09<02:55, 27.14step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   5%|▍         | 241/5000 [00:09<02:53, 27.41step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   5%|▍         | 244/5000 [00:09<02:51, 27.73step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   5%|▍         | 247/5000 [00:09<02:52, 27.59step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   5%|▌         | 250/5000 [00:10<02:52, 27.50step/s, best=0.0672, val_acc=0.8551]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   5%|▌         | 253/5000 [00:10<02:52, 27.50step/s, best=0.0672, val_acc=0.8551]
