Device: cpu

============================================================
ptorch | MNIST_1L | norm=2 | opt=ProjectionMuonV2 | loss=CrossEntropy | muon=False | bs=32

MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   0%|          | 0/5000 [00:00<?, ?step/s]/rhea/scratch/brussel/vo/000/bvo00004/vsc38352/learning_with_projections/.venv/lib/python3.12/site-packages/torch/utils/data/dataloader.py:775: UserWarning: 'pin_memory' argument is set as true but no accelerator is found, then device pinned memory won't be used.
  super().__init__(loader)

MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   8%|▊         | 416/5000 [00:05<01:14, 61.81step/s, best=0.8030, val_acc=0.8882]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   8%|▊         | 425/5000 [00:05<01:08, 66.53step/s, best=0.8030, val_acc=0.8882]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   9%|▊         | 433/5000 [00:05<01:05, 69.76step/s, best=0.8030, val_acc=0.8882]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   9%|▉         | 441/5000 [00:05<01:04, 70.73step/s, best=0.8030, val_acc=0.8882]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   9%|▉         | 450/5000 [00:06<01:01, 73.97step/s, best=0.8030, val_acc=0.8882]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   9%|▉         | 459/5000 [00:06<00:59, 76.60step/s, best=0.8030, val_acc=0.8882]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:   9%|▉         | 467/5000 [00:06<00:58, 77.36step/s, best=0.8030, val_acc=0.8882]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  10%|▉         | 476/5000 [00:06<00:57, 78.38step/s, best=0.8030, val_acc=0.8882]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  10%|▉         | 485/5000 [00:06<00:57, 79.01step/s, best=0.8030, val_acc=0.8882]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  10%|▉         | 494/5000 [00:06<00:56, 79.45step/s, best=0.8030, val_acc=0.8882]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  10%|█         | 503/5000 [00:06<00:56, 79.71step/s, best=0.8030, val_acc=0.8882]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  10%|█         | 512/5000 [00:06<00:56, 79.62step/s, best=0.8030, val_acc=0.8882]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  10%|█         | 520/5000 [00:06<00:56, 79.70step/s, best=0.8030, val_acc=0.8882]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  11%|█         | 529/5000 [00:07<00:55, 79.98step/s, best=0.8030, val_acc=0.8882]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  11%|█         | 538/5000 [00:07<00:56, 78.95step/s, best=0.8030, val_acc=0.8882]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  11%|█         | 546/5000 [00:07<00:56, 78.99step/s, best=0.8030, val_acc=0.8882]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  11%|█         | 554/5000 [00:07<00:56, 78.82step/s, best=0.8030, val_acc=0.8882]
MNIST_1L | norm=2 | ProjectionMuonV2 | CrossEntropy:  11%|█         | 562/5000 [00:07<00:56, 79.13step/s, best=0.8030, val_acc=0.8882]
