Device: cpu

============================================================
ptorch | MNIST_4L | norm=2 | opt=ProjectionMuonV2 | loss=CrossEntropy | muon=False | bs=32

MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   0%|          | 0/5000 [00:00<?, ?step/s]/rhea/scratch/brussel/vo/000/bvo00004/vsc38352/learning_with_projections/.venv/lib/python3.12/site-packages/torch/utils/data/dataloader.py:775: UserWarning: 'pin_memory' argument is set as true but no accelerator is found, then device pinned memory won't be used.
  super().__init__(loader)

MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   6%|▋         | 315/5000 [00:11<02:50, 27.46step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   6%|▋         | 318/5000 [00:11<02:49, 27.56step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   6%|▋         | 321/5000 [00:11<02:49, 27.63step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   6%|▋         | 324/5000 [00:11<02:50, 27.48step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   7%|▋         | 327/5000 [00:11<02:50, 27.42step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   7%|▋         | 330/5000 [00:11<02:49, 27.56step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   7%|▋         | 333/5000 [00:11<02:49, 27.53step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   7%|▋         | 336/5000 [00:11<02:49, 27.46step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   7%|▋         | 339/5000 [00:11<02:49, 27.45step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   7%|▋         | 342/5000 [00:12<02:49, 27.46step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   7%|▋         | 345/5000 [00:12<02:50, 27.30step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   7%|▋         | 348/5000 [00:12<02:49, 27.38step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   7%|▋         | 351/5000 [00:12<02:52, 26.89step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   7%|▋         | 354/5000 [00:12<02:54, 26.64step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   7%|▋         | 357/5000 [00:12<02:51, 27.01step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   7%|▋         | 360/5000 [00:12<02:50, 27.24step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   7%|▋         | 363/5000 [00:12<02:49, 27.39step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   7%|▋         | 366/5000 [00:12<02:48, 27.53step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   7%|▋         | 369/5000 [00:13<02:48, 27.55step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   7%|▋         | 372/5000 [00:13<02:48, 27.49step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   8%|▊         | 375/5000 [00:13<02:49, 27.35step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   8%|▊         | 378/5000 [00:13<02:49, 27.27step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   8%|▊         | 381/5000 [00:13<02:49, 27.29step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   8%|▊         | 384/5000 [00:13<02:48, 27.43step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   8%|▊         | 387/5000 [00:13<02:49, 27.20step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   8%|▊         | 390/5000 [00:13<02:48, 27.31step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   8%|▊         | 393/5000 [00:13<02:49, 27.18step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   8%|▊         | 396/5000 [00:14<02:48, 27.32step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   8%|▊         | 399/5000 [00:14<02:47, 27.41step/s, best=0.0672, val_acc=0.8666]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   8%|▊         | 400/5000 [00:14<02:47, 27.41step/s, best=0.8666, val_acc=0.9153]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   8%|▊         | 402/5000 [00:14<06:00, 12.76step/s, best=0.8666, val_acc=0.9153]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   8%|▊         | 405/5000 [00:14<05:01, 15.25step/s, best=0.8666, val_acc=0.9153]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   8%|▊         | 408/5000 [00:14<04:20, 17.65step/s, best=0.8666, val_acc=0.9153]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   8%|▊         | 411/5000 [00:15<03:51, 19.82step/s, best=0.8666, val_acc=0.9153]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   8%|▊         | 414/5000 [00:15<03:30, 21.74step/s, best=0.8666, val_acc=0.9153]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   8%|▊         | 417/5000 [00:15<03:16, 23.30step/s, best=0.8666, val_acc=0.9153]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   8%|▊         | 420/5000 [00:15<03:07, 24.43step/s, best=0.8666, val_acc=0.9153]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   8%|▊         | 423/5000 [00:15<03:01, 25.25step/s, best=0.8666, val_acc=0.9153]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   9%|▊         | 426/5000 [00:15<02:57, 25.76step/s, best=0.8666, val_acc=0.9153]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   9%|▊         | 429/5000 [00:15<02:54, 26.18step/s, best=0.8666, val_acc=0.9153]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   9%|▊         | 432/5000 [00:15<02:50, 26.81step/s, best=0.8666, val_acc=0.9153]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   9%|▊         | 435/5000 [00:15<02:46, 27.37step/s, best=0.8666, val_acc=0.9153]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   9%|▉         | 438/5000 [00:15<02:45, 27.61step/s, best=0.8666, val_acc=0.9153]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   9%|▉         | 441/5000 [00:16<02:43, 27.83step/s, best=0.8666, val_acc=0.9153]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   9%|▉         | 444/5000 [00:16<02:42, 27.96step/s, best=0.8666, val_acc=0.9153]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   9%|▉         | 447/5000 [00:16<02:42, 28.04step/s, best=0.8666, val_acc=0.9153]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   9%|▉         | 450/5000 [00:16<02:41, 28.09step/s, best=0.8666, val_acc=0.9153]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   9%|▉         | 453/5000 [00:16<02:41, 28.20step/s, best=0.8666, val_acc=0.9153]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   9%|▉         | 456/5000 [00:16<02:41, 28.14step/s, best=0.8666, val_acc=0.9153]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   9%|▉         | 459/5000 [00:16<02:41, 28.13step/s, best=0.8666, val_acc=0.9153]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   9%|▉         | 462/5000 [00:16<02:41, 28.17step/s, best=0.8666, val_acc=0.9153]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   9%|▉         | 465/5000 [00:16<02:43, 27.66step/s, best=0.8666, val_acc=0.9153]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   9%|▉         | 468/5000 [00:17<02:43, 27.77step/s, best=0.8666, val_acc=0.9153]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   9%|▉         | 471/5000 [00:17<02:42, 27.83step/s, best=0.8666, val_acc=0.9153]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:   9%|▉         | 474/5000 [00:17<02:42, 27.80step/s, best=0.8666, val_acc=0.9153]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:  10%|▉         | 477/5000 [00:17<02:42, 27.89step/s, best=0.8666, val_acc=0.9153]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:  10%|▉         | 480/5000 [00:17<02:41, 27.94step/s, best=0.8666, val_acc=0.9153]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:  10%|▉         | 483/5000 [00:17<02:41, 27.98step/s, best=0.8666, val_acc=0.9153]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:  10%|▉         | 486/5000 [00:17<02:41, 27.98step/s, best=0.8666, val_acc=0.9153]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:  10%|▉         | 489/5000 [00:17<02:40, 28.04step/s, best=0.8666, val_acc=0.9153]
MNIST_4L | norm=2 | ProjectionMuonV2 | CrossEntropy:  10%|▉         | 492/5000 [00:17<02:41, 27.85step/s, best=0.8666, val_acc=0.9153]
