framework,task,norm,optimizer,loss,run,step,train_acc,val_acc,wall_time_s
torch,CIFAR10,l2,AdamW,CrossEntropy,1,7400,0.9641796875,0.6922075152397156,86.8264467716217
torch,CIFAR10,l2,AdamW,CrossEntropy,1,7500,0.9793359375,0.7028245329856873,87.99035334587097
torch,CIFAR10,l2,AdamW,CrossEntropy,1,7600,0.984296875,0.7006210088729858,89.15423154830933
torch,CIFAR10,l2,AdamW,CrossEntropy,1,7700,0.990703125,0.7092347741127014,90.31974482536316
torch,CIFAR10,l2,AdamW,CrossEntropy,1,7800,0.9901171875,0.7073317170143127,91.48247957229614
torch,CIFAR10,l2,AdamW,CrossEntropy,1,7900,0.9948828125,0.7171474695205688,92.64631533622742
torch,CIFAR10,l2,AdamW,CrossEntropy,1,8000,0.9975390625,0.7208533883094788,93.81060767173767
torch,CIFAR10,l2,AdamW,CrossEntropy,1,8100,0.999140625,0.7228565812110901,94.97557473182678
torch,CIFAR10,l2,AdamW,CrossEntropy,1,8200,0.9993359375,0.72265625,96.14018416404724
torch,CIFAR10,l2,AdamW,CrossEntropy,1,8300,0.9999609375,0.7277644276618958,97.30497622489929
torch,CIFAR10,l2,AdamW,CrossEntropy,1,8400,0.9999609375,0.7300681471824646,98.46916437149048
torch,CIFAR10,l2,AdamW,CrossEntropy,1,8500,1.0,0.7302684187889099,99.63297009468079
torch,CIFAR10,l2,AdamW,CrossEntropy,1,8600,1.0,0.7319711446762085,100.79675507545471
torch,CIFAR10,l2,AdamW,CrossEntropy,1,8700,1.0,0.7324719429016113,101.95997714996338
torch,CIFAR10,l2,AdamW,CrossEntropy,1,8800,1.0,0.732271671295166,103.12363004684448
torch,CIFAR10,l2,AdamW,CrossEntropy,1,8900,1.0,0.7327724695205688,104.28614282608032
torch,CIFAR10,l2,AdamW,CrossEntropy,1,9000,1.0,0.7324719429016113,105.45084142684937
torch,CIFAR10,l2,AdamW,CrossEntropy,1,9100,1.0,0.7332732677459717,106.61490631103516
torch,CIFAR10,l2,AdamW,CrossEntropy,1,9200,1.0,0.7324719429016113,107.78011655807495
torch,CIFAR10,l2,AdamW,CrossEntropy,1,9300,1.0,0.7330729365348816,108.9442777633667
torch,CIFAR10,l2,AdamW,CrossEntropy,1,9400,1.0,0.7331730723381042,110.10845184326172
torch,CIFAR10,l2,AdamW,CrossEntropy,1,9500,1.0,0.7335737347602844,111.2726218700409
torch,CIFAR10,l2,AdamW,CrossEntropy,1,9600,1.0,0.7337740659713745,112.43770575523376
torch,CIFAR10,l2,AdamW,CrossEntropy,1,9700,1.0,0.7336738705635071,113.6026041507721
torch,CIFAR10,l2,AdamW,CrossEntropy,1,9800,1.0,0.7340745329856873,114.77082300186157
torch,CIFAR10,l2,AdamW,CrossEntropy,1,9900,1.0,0.7336738705635071,115.93697571754456
torch,CIFAR10,l2,AdamW,CrossEntropy,1,10000,1.0,0.7342748641967773,117.10369777679443
