framework,task,norm,optimizer,loss,run,step,train_acc,val_acc,wall_time_s
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,11400,0.7496484375,0.5152994990348816,286.68246579170227
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,11500,0.749755859375,0.5154079794883728,289.00820779800415
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,11600,0.750390625,0.5184462070465088,291.3332414627075
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,11700,0.752197265625,0.51953125,293.6585464477539
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,11800,0.753046875,0.5150824785232544,295.98374915122986
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,11900,0.7522265625,0.5154079794883728,298.30922055244446
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,12000,0.75416015625,0.5162760615348816,300.63365602493286
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,12100,0.754111328125,0.5168185830116272,302.9583432674408
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,12200,0.755205078125,0.5197482705116272,305.28359293937683
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,12300,0.755732421875,0.5160590410232544,307.6071093082428
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,12400,0.755625,0.5160590410232544,309.93280124664307
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,12500,0.756982421875,0.5159505009651184,312.2632212638855
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,12600,0.75787109375,0.5145399570465088,314.5915038585663
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,12700,0.759013671875,0.5160590410232544,316.91644525527954
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,12800,0.7593359375,0.5159505009651184,319.24075388908386
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,12900,0.76125,0.5144314169883728,321.5660376548767
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,13000,0.758603515625,0.513671875,323.892201423645
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,13100,0.761240234375,0.5158420205116272,326.2179636955261
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,13200,0.7609765625,0.5148654580116272,328.5461986064911
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,13300,0.762158203125,0.5148654580116272,330.8724114894867
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,13400,0.7635546875,0.5158420205116272,333.19887256622314
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,13500,0.761494140625,0.5162760615348816,335.5261130332947
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,13600,0.764580078125,0.5177951455116272,337.851126909256
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,13700,0.7653515625,0.5152994990348816,340.17857599258423
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,13800,0.76453125,0.5159505009651184,342.50520634651184
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,13900,0.764609375,0.5154079794883728,344.83098220825195
ptorch,CIFAR10,l2,ProjectionMuonV2,CrossEntropy,1,14000,0.766943359375,0.5129123330116272,347.160432100296
