step_bucket,key,metric,count,mean,max
200,"matmul_pw_(256, 16, 64, 8)",t_max,400,0.016003,0.016388
200,"matmul_pw_(256, 16, 64, 8)",t_mean,400,8.51304e-05,0.000100292
200,"matmul_pw_(256, 16, 64, 8)",t_sat,400,0,0
200,"matmul_pw_(256, 16, 64, 8)",z_norm,400,1021.92,1326.47
200,rmsnorm,rel_delta,800,0.00265338,0.00452185
200,rmsnorm,sigma_flip,800,0,0
200,softmax,clamp_frac,400,0.00010976,0.000460327
200,softmax,max_logit_disp,400,3.0428,3.20391
200,softmax,mean_logit_disp,400,0.0280645,0.0365302
200,softmax,z_min,400,-0.000632896,-0.000368422
300,layer/block0,rel_delta,100,0.0364975,0.0373971
300,layer/block0.attn,rel_delta,100,0.0909755,0.0931103
300,layer/block0.mlp,rel_delta,100,0.0752374,0.0762425
300,layer/block1,rel_delta,100,0.0235187,0.0236491
300,layer/block1.attn,rel_delta,100,0.0695325,0.0711598
300,layer/block1.mlp,rel_delta,100,0.0532993,0.0540701
300,layer/block2,rel_delta,100,0.0144678,0.0145113
300,layer/block2.attn,rel_delta,100,0.0537746,0.0560647
300,layer/block2.mlp,rel_delta,100,0.0385036,0.0389312
300,layer/block3,rel_delta,100,0.000208174,0.00023502
300,layer/block3.attn,rel_delta,100,0.033621,0.0363443
300,layer/block3.mlp,rel_delta,100,0.000628014,0.000704797
300,layer/head,rel_delta,100,0.0919026,0.126885
300,layer/patch_embed,rel_delta,100,0.0532493,0.0561117
300,"matmul_(256, 10)",a_rel_move,100,0.000208247,0.000235079
300,"matmul_(256, 10)",t_max,100,0.953213,1.11185
300,"matmul_(256, 10)",t_mean,100,0.0836637,0.0917801
300,"matmul_(256, 10)",t_sat,100,0.0616836,0.0734375
300,"matmul_(256, 10)",z_norm,100,608.028,784.902
300,"matmul_(256, 64, 128)",a_rel_move,2100,7.26876e-05,0.000320915
300,"matmul_(256, 64, 128)",t_max,2100,0.255585,8.0075
300,"matmul_(256, 64, 128)",t_mean,2100,0.00339704,0.00987782
300,"matmul_(256, 64, 128)",t_sat,2100,4.35965e-08,9.53674e-07
300,"matmul_(256, 64, 128)",z_norm,2100,1602.42,2309.48
300,"matmul_(256, 64, 512)",a_rel_move,400,1.69574e-05,2.18944e-05
300,"matmul_(256, 64, 512)",t_max,400,0.535975,4.00096
300,"matmul_(256, 64, 512)",t_mean,400,0.00144696,0.00159283
300,"matmul_(256, 64, 512)",t_sat,400,3.12924e-08,2.38419e-07
300,"matmul_(256, 64, 512)",z_norm,400,3406.87,3883.93
300,"matmul_pw_(256, 16, 64, 64)",a_rel_move,400,0.00182761,0.00191121
300,"matmul_pw_(256, 16, 64, 64)",t_max,400,0.510894,0.516057
300,"matmul_pw_(256, 16, 64, 64)",t_mean,400,0.00157184,0.00163545
300,"matmul_pw_(256, 16, 64, 64)",t_sat,400,0.000283049,0.000309944
