Precision,bits,p,Step,Error,TrainAcc,ValAcc,StepTime,WallTime
int32 p=32,32,32,23,0.11334879696369171,0.625,0.3671875,0.005422334012109786,1.0312181892222725
int32 p=32,32,32,24,0.11175048351287842,0.6875,0.365234375,0.005416494968812913,1.0366346841910854
int32 p=32,32,32,25,0.12259753048419952,0.59375,0.37109375,0.005494603014085442,1.0421292872051708
int32 p=32,32,32,26,0.1262321174144745,0.546875,0.333984375,0.005404878000263125,1.047534165205434
int32 p=32,32,32,27,0.12645350396633148,0.484375,0.345703125,0.005313739995472133,1.052847905200906
int32 p=32,32,32,28,0.119012251496315,0.515625,0.353515625,0.005370725993998349,1.0582186311949044
int32 p=32,32,32,29,0.1151551827788353,0.5625,0.333984375,0.00538990501081571,1.0636085362057202
int32 p=32,32,32,30,0.12305255234241486,0.453125,0.3359375,0.005407531978562474,1.0690160681842826
int32 p=32,32,32,31,0.11837358772754669,0.546875,0.302734375,0.005352248030249029,1.0743683162145317
int32 p=32,32,32,32,0.12155892699956894,0.4375,0.296875,0.005380971997510642,1.0797492882120423
int32 p=32,32,32,33,0.12227439880371094,0.546875,0.359375,0.0054015819914639,1.0851508702035062
int32 p=32,32,32,34,0.12340591102838516,0.421875,0.345703125,0.0054842280223965645,1.0906350982259028
int32 p=32,32,32,35,0.13123416900634766,0.421875,0.369140625,0.005440592009108514,1.0960756902350113
int32 p=32,32,32,36,0.1216803789138794,0.515625,0.36328125,0.005421122012194246,1.1014968122472055
int32 p=32,32,32,37,0.127146378159523,0.546875,0.373046875,0.005481944011989981,1.1069787562591955
int32 p=32,32,32,38,0.12521834671497345,0.40625,0.33984375,0.005433289974462241,1.1124120462336577
int32 p=32,32,32,39,0.12101564556360245,0.46875,0.32421875,0.005408302997238934,1.1178203492308967
int32 p=32,32,32,40,0.12689124047756195,0.484375,0.37890625,0.005426821007858962,1.1232471702387556
int32 p=32,32,32,41,0.12783221900463104,0.4375,0.359375,0.005370335013139993,1.1286175052518956
int32 p=32,32,32,42,0.12774333357810974,0.40625,0.37109375,0.005399508983828127,1.1340170142357238
int32 p=32,32,32,43,0.12345510721206665,0.46875,0.3203125,0.005482445005327463,1.1394994592410512
int32 p=32,32,32,44,0.12060107290744781,0.578125,0.345703125,0.00541328004328534,1.1449127392843366
int32 p=32,32,32,45,0.11561959236860275,0.5625,0.34375,0.005557137017603964,1.1504698763019405
int32 p=32,32,32,46,0.1174396499991417,0.5625,0.330078125,0.005526210996322334,1.1559960872982629
int32 p=32,32,32,47,0.12299998849630356,0.4375,0.298828125,0.005460712010972202,1.161456799309235
int32 p=32,32,32,48,0.1193426176905632,0.4375,0.263671875,0.00547351100249216,1.1669303103117272
int32 p=32,32,32,49,0.11732323467731476,0.515625,0.2734375,0.0054242570186033845,1.1723545673303306
int32 p=32,32,32,50,0.11997463554143906,0.4375,0.32421875,0.005409233970567584,1.1777638013008982
int32 p=32,32,32,51,0.11989724636077881,0.515625,0.328125,0.005438457999844104,1.1832022593007423
int32 p=32,32,32,52,0.11930262297391891,0.484375,0.298828125,0.005456976010464132,1.1886592353112064
int32 p=32,32,32,53,0.11900799721479416,0.4375,0.328125,0.005328372004441917,1.1939876073156483
int32 p=32,32,32,54,0.11599349230527878,0.4375,0.294921875,0.005438478023279458,1.1994260853389278
int32 p=32,32,32,55,0.11259295791387558,0.421875,0.291015625,0.005286149040330201,1.204712234379258
int32 p=32,32,32,56,0.11558175086975098,0.4375,0.326171875,0.005441873043309897,1.210154107422568
int32 p=32,32,32,57,0.10991845279932022,0.5,0.32421875,0.005458659026771784,1.2156127664493397
int32 p=32,32,32,58,0.1094842478632927,0.5625,0.361328125,0.0054161850130185485,1.2210289514623582
int32 p=32,32,32,59,0.11398348957300186,0.453125,0.294921875,0.005409203993622214,1.2264381554559804
int32 p=32,32,32,60,0.10610528290271759,0.484375,0.318359375,0.005413711012806743,1.2318518664687872
int32 p=32,32,32,61,0.12568937242031097,0.328125,0.357421875,0.005448363022878766,1.237300229491666
